"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","INDPROD","MFG","IDX2015","A","2010",93.84167,
"ZAF","INDPROD","MFG","IDX2015","A","2011",96.48333,
"ZAF","INDPROD","MFG","IDX2015","A","2012",98.60833,
"ZAF","INDPROD","MFG","IDX2015","A","2013",99.9,
"ZAF","INDPROD","MFG","IDX2015","A","2014",100.0083,
"ZAF","INDPROD","MFG","IDX2015","A","2015",100,
"ZAF","INDPROD","MFG","IDX2015","A","2016",100.7083,
"ZAF","INDPROD","MFG","IDX2015","A","2017",100.025,
"EA19","INDPROD","MFG","IDX2015","A","2010",94.24119,
"EA19","INDPROD","MFG","IDX2015","A","2011",98.59988,
"EA19","INDPROD","MFG","IDX2015","A","2012",96.07468,
"EA19","INDPROD","MFG","IDX2015","A","2013",95.30795,
"EA19","INDPROD","MFG","IDX2015","A","2014",97.2081,
"EA19","INDPROD","MFG","IDX2015","A","2015",100,
"EA19","INDPROD","MFG","IDX2015","A","2016",101.7668,
"EA19","INDPROD","MFG","IDX2015","A","2017",104.9921,
"CRI","INDPROD","MFG","IDX2015","A","2010",95.99084,
"CRI","INDPROD","MFG","IDX2015","A","2011",99.73623,
"CRI","INDPROD","MFG","IDX2015","A","2012",98.70293,
"CRI","INDPROD","MFG","IDX2015","A","2013",97.33517,
"CRI","INDPROD","MFG","IDX2015","A","2014",98.77977,
"CRI","INDPROD","MFG","IDX2015","A","2015",100,
"CRI","INDPROD","MFG","IDX2015","A","2016",104.4037,
"CRI","INDPROD","MFG","IDX2015","A","2017",107.3789,
"EU27_2020","INDPROD","MFG","IDX2015","A","2010",93.20113,
"EU27_2020","INDPROD","MFG","IDX2015","A","2011",97.63373,
"EU27_2020","INDPROD","MFG","IDX2015","A","2012",95.52575,
"EU27_2020","INDPROD","MFG","IDX2015","A","2013",94.94251,
"EU27_2020","INDPROD","MFG","IDX2015","A","2014",97.01717,
"EU27_2020","INDPROD","MFG","IDX2015","A","2015",100,
"EU27_2020","INDPROD","MFG","IDX2015","A","2016",102.008,
"EU27_2020","INDPROD","MFG","IDX2015","A","2017",105.6907,
